Date,Actual_GWh,Forecast_GWh,PI90_Lower_raw,PI90_Upper_raw,PI90_Lower_cal,PI90_Upper_cal
2024-01-01,16.93,10.637078938116332,0.16700155098136849,21.107156325251296,-3.497525534515873,24.771683410748537
2024-02-01,19.941,17.87149052672701,1.2638295601559446,34.479151493298076,-4.548851778143931,40.29183283159796
2024-03-01,34.572,29.975594335564008,8.95164881935461,50.999539851773406,1.5932678886813143,58.3579207824467
2024-04-01,65.365,44.782679188105945,20.12100512983255,69.44435324637934,11.48941920943686,78.07593916677503
2024-05-01,94.089,56.987219277517625,29.159354651490563,84.81508390354468,19.41960203238108,94.55483652265416
2024-06-01,101.188,62.93950654273439,32.27059831416418,93.6084147713046,21.536480434164602,104.34253265130418
2024-07-01,115.457,62.55441058698446,29.286200322222175,95.82262085174675,17.642326729555357,107.46649444441357
2024-08-01,98.174,55.69573920831428,20.017094383876117,91.37438403275245,7.5295686953227445,103.8619097213058
2024-09-01,73.727,44.51799532438716,6.581764900208466,82.45422574856585,-6.69591574825408,95.7319063970284
2024-10-01,54.281,29.864166942261317,-10.202645522475063,69.93097940699771,-24.226029885132817,83.95436376965546
2024-11-01,23.612,17.614643934526914,-24.47503821409863,59.70432608315246,-39.206426966117576,74.43571483517141
2024-12-01,16.222,11.211378317311507,-32.80831302259115,55.231069657214164,-48.215204991557094,70.6379616261801
