date,actual,posterior_mean,lo90,hi90
2024-01-01,16.93,22.217440385581902,-10.76584517038022,55.43985205043208
2024-02-01,19.941,22.779321663191617,-10.866414163106498,56.40039060582722
2024-03-01,34.572,23.786065030393193,-10.509403130700123,58.41097687490749
2024-04-01,65.365,25.59304372071939,-15.141623160829427,65.75234416329617
2024-05-01,94.089,27.347947958627575,-25.834801370017228,81.04112455855795
2024-06-01,101.188,28.19015223300151,-25.050045561883824,81.87227672445924
2024-07-01,115.457,28.18539055408756,-24.226374356590014,80.21931729719363
2024-08-01,98.174,27.29262537180241,-21.819625385852728,77.23650818603778
2024-09-01,73.727,26.171794774602553,-16.807475805110855,69.42236784991665
2024-10-01,54.281,24.87788781743523,-15.236032285394247,65.25115461821207
2024-11-01,23.612,23.20406258134435,-11.51925554246049,58.23680451300359
2024-12-01,16.222,23.104215024253666,-10.666938017491258,56.87131047908501
