Rank,Feature,Mean_SHAP,Std_Dev
1,Wind_GWh_RollingMean3,216.2228480532989,101.93572756733244
2,Wind_GWh_Lag12,67.2048827691412,47.43158207952915
3,Wind_Capacity_MW,57.058238182518274,15.715724956301552
4,Wind_Speed_10m,44.66764299936805,34.13141953755746
5,Wind_GWh_Lag1,19.6942264782916,11.282084263267196
6,Wind_GWh_Lag2,13.259751202972803,12.717470150181153
7,Cloud_Cover,7.921554976232035,6.786854643936262
8,Temperature_Celsius,6.482235457221498,4.805788343372818
