Date,Actual,Predicted,Lower90,Upper90
2022-01-08,509.108,522.1064494346775,461.48623176467555,582.7266671046794
2022-01-09,643.172,471.8549623939812,413.1281393680437,530.5817854199187
2022-01-10,1250.767,1125.2324399617248,1052.954095686304,1197.5107842371456
2022-01-11,1334.786,1181.9020511102633,1098.1892989428766,1265.6148032776498
2022-01-12,1029.827,1138.4458786780726,1067.2976141249255,1209.5941432312197
2023-01-01,1211.068,1335.0426479928067,1243.708633414918,1426.3766625706953
2023-01-02,1105.607,1017.0731890070135,939.893613165236,1094.252764848791
2023-01-03,1122.606,1055.5324337760248,973.0117961906552,1138.0530713613944
2023-01-04,933.626,751.1170146332522,685.4373294760602,816.7966997904442
2023-01-05,564.269,704.0984066305517,637.3680858123681,770.8287274487353
2023-01-06,538.073,599.3254395348429,540.725011446155,657.9258676235307
2023-01-07,877.184,674.86667153439,608.1794476055414,741.5538954632384
2023-01-08,887.967,735.7497598447817,678.8639945939633,792.6355250956
2023-01-09,853.168,825.1072943765956,765.6439381755446,884.5706505776467
2023-01-10,837.014,972.3822344676483,909.7803782490362,1034.9840906862605
2023-01-11,1137.068,1023.9441564788884,946.2240799037683,1101.6642330540085
2023-01-12,1537.47,1313.1570397831192,1218.454419317594,1407.8596602486443
2024-01-01,1141.615,1192.1922302812777,1116.6877478208808,1267.6967127416747
2024-01-02,1197.359,1201.5835542393986,1108.9022580819549,1294.2648503968423
2024-01-03,1330.54,1042.7265668411628,948.8728817269192,1136.5802519554063
2024-01-04,928.997,1031.5842224738592,948.7480062946144,1114.420438653104
2024-01-05,560.063,654.0206390039508,584.8676086472208,723.1736693606808
2024-01-06,640.203,770.5148445149295,694.4427572669704,846.5869317628885
2024-01-07,587.208,613.8121336749492,560.7668914174617,666.8573759324368
2024-01-08,947.575,939.5632087326823,873.1357645376611,1005.9906529277033
2024-01-09,794.546,826.9314547391349,772.396081230752,881.4668282475177
2024-01-10,1032.437,990.3440419919303,926.2373594893503,1054.4507244945103
2024-01-11,887.614,975.9309681489206,913.0809169087399,1038.7810193891012
2024-01-12,1318.917,1049.0927486282453,971.7181646401968,1126.4673326162938
