Date,Actual,Predicted,Lower_90,Upper_90
2022-01-03,932.523,1056.6790234718312,1026.839986976068,1088.4535674971953
2022-01-04,839.06,696.2894909994922,666.450454503729,728.0640350248561
2022-01-05,854.119,918.5418482612419,888.7028117654787,950.3163922866058
2022-01-06,725.555,840.4805820062161,810.6415455104529,872.2551260315801
2022-01-07,520.754,630.889336804248,601.0503003084849,662.663880829612
2022-01-08,509.108,495.0847277895118,465.2456912937487,526.8592718148758
2022-01-09,643.172,469.63614256477746,439.7971060690143,501.41068659014144
2022-01-10,1250.767,1076.3165750771943,1046.4775385814312,1108.0911191025584
2022-01-11,1334.786,1191.6945175615504,1161.8554810657872,1223.4690615869144
2022-01-12,1029.827,1092.1338372668426,1062.2948007710795,1123.9083812922067
2023-01-01,1211.068,1293.217751413092,1263.3787149173288,1324.992295438456
2023-01-02,1105.607,1096.710466828524,1066.8714303327608,1128.485010853888
2023-01-03,1122.606,1078.7765912018194,1048.9375547060563,1110.5511352271835
2023-01-04,933.626,891.0605095736203,861.2214730778571,922.8350535989842
2023-01-05,564.269,751.1581992146251,721.319162718862,782.9327432399891
2023-01-06,538.073,577.6501301330394,547.8110936372763,609.4246741584034
2023-01-07,877.184,686.1057166476264,656.2666801518633,717.8802606729904
2023-01-08,887.967,704.9609913450716,675.1219548493085,736.7355353704356
2023-01-09,853.168,845.6171168165737,815.7780803208105,877.3916608419377
2023-01-10,837.014,992.6001191404637,962.7610826447005,1024.3746631658278
2023-01-11,1137.068,1120.5001211207198,1090.6610846249566,1152.2746651460839
2023-01-12,1537.47,1266.0855873396415,1236.2465508438784,1297.8601313650056
2024-01-01,1141.615,1242.4797414596478,1212.6407049638847,1274.254285485012
2024-01-02,1197.359,1159.2148422719818,1129.3758057762186,1190.9893862973458
2024-01-03,1330.54,1065.826130569064,1035.9870940733008,1097.600674594428
2024-01-04,928.997,1023.6113305415022,993.772294045739,1055.3858745668663
2024-01-05,560.063,644.475564584714,614.6365280889509,676.250108610078
2024-01-06,640.203,759.4554081329918,729.6163716372287,791.2299521583558
2024-01-07,587.208,638.7531978859892,608.914161390226,670.5277419113531
2024-01-08,947.575,1031.2859847157363,1001.4469482199731,1063.0605287411004
2024-01-09,794.546,829.8301528743791,799.991116378616,861.6046968997431
2024-01-10,1032.437,971.5284676672758,941.6894311715126,1003.3030116926398
2024-01-11,887.614,954.9554715023952,925.1164350066321,986.7300155277592
2024-01-12,1318.917,1202.5933943315558,1172.7543578357927,1234.36793835692
