Index,Actual,Predicted
134,932.523,1056.6790234718312
135,839.06,696.2894909994922
136,854.119,918.5418482612419
137,725.555,840.4805820062161
138,520.754,630.889336804248
139,509.108,495.0847277895118
140,643.172,469.63614256477746
141,1250.767,1076.3165750771943
142,1334.786,1191.6945175615504
143,1029.827,1092.1338372668426
144,1211.068,1293.217751413092
145,1105.607,1096.710466828524
146,1122.606,1078.7765912018194
147,933.626,891.0605095736203
148,564.269,751.1581992146251
149,538.073,577.6501301330394
150,877.184,686.1057166476264
151,887.967,704.9609913450716
152,853.168,845.6171168165737
153,837.014,992.6001191404637
154,1137.068,1120.5001211207198
155,1537.47,1266.0855873396415
156,1141.615,1242.4797414596478
157,1197.359,1159.2148422719818
158,1330.54,1065.826130569064
159,928.997,1023.6113305415022
160,560.063,644.475564584714
161,640.203,759.4554081329918
162,587.208,638.7531978859892
163,947.575,1031.2859847157363
164,794.546,829.8301528743791
165,1032.437,971.5284676672758
166,887.614,954.9554715023952
167,1318.917,1202.5933943315558
