Index,Actual,Predicted,Lower90,Upper90
134,932.523,1056.6790234718312,1035.3553511480416,1078.0026957956209
135,839.06,696.2894909994922,668.9507178112679,723.6282641877165
136,854.119,918.5418482612419,896.5740578260204,940.5096386964633
137,725.555,840.4805820062161,817.2455489464343,863.7156150659979
138,520.754,630.889336804248,597.8743308809469,663.9043427275492
139,509.108,495.0847277895118,474.9034608065059,515.2659947725177
140,643.172,469.63614256477746,449.25959953231165,490.01268559724326
141,1250.767,1076.3165750771943,1051.2970216694512,1101.3361284849375
142,1334.786,1191.6945175615504,1159.4585983942143,1223.9304367288864
143,1029.827,1092.1338372668426,1070.7735447488642,1113.494129784821
144,1211.068,1293.217751413092,1266.3275560749933,1320.1079467511906
145,1105.607,1096.710466828524,1066.835244363035,1126.585689294013
146,1122.606,1078.7765912018194,1054.3295171018674,1103.2236653017715
147,933.626,891.0605095736203,870.729122830437,911.3918963168036
148,564.269,751.1581992146251,731.1380659279284,771.1783325013218
149,538.073,577.6501301330394,557.5610907579796,597.7391695080992
150,877.184,686.1057166476264,660.0628495923047,712.1485837029481
151,887.967,704.9609913450716,683.53871257559,726.3832701145533
152,853.168,845.6171168165737,819.9255949746198,871.3086386585276
153,837.014,992.6001191404637,965.0286214290217,1020.1716168519057
154,1137.068,1120.5001211207198,1089.5639708265376,1151.436271414902
155,1537.47,1266.0855873396415,1234.721524058097,1297.449650621186
156,1141.615,1242.4797414596478,1219.1174447814174,1265.8420381378783
157,1197.359,1159.2148422719818,1119.5193754926258,1198.9103090513377
158,1330.54,1065.826130569064,1043.3200274086387,1088.3322337294892
159,928.997,1023.6113305415022,1000.5224847795233,1046.700176303481
160,560.063,644.475564584714,624.1236847554784,664.8274444139496
161,640.203,759.4554081329918,738.3666838778563,780.5441323881273
162,587.208,638.7531978859892,621.5822188869488,655.9241768850295
163,947.575,1031.2859847157363,1009.7000604248352,1052.8719090066372
164,794.546,829.8301528743791,812.0294640764062,847.6308416723521
165,1032.437,971.5284676672758,949.5841896131287,993.4727457214228
166,887.614,954.9554715023952,928.0916952179822,981.8192477868082
167,1318.917,1202.5933943315558,1176.638552404264,1228.5482362588477
