Date,Actual,Predicted_Mean,Predicted_Std,CRPS
2022-01-03,932.523,1056.6790234718312,18.19122125905197,-113.89272592548407
2022-01-04,839.06,696.2894909994922,23.322702790887725,-129.61208302907264
2022-01-05,854.119,918.5418482612419,18.740718311158933,-53.85233493539804
2022-01-06,725.555,840.4805820062161,19.821802780205182,-103.74232737224081
2022-01-07,520.754,630.889336804248,28.165095978784272,-94.24547971132837
2022-01-08,509.108,495.0847277895118,17.216635455717565,-8.344088952447976
2022-01-09,643.172,469.63614256477746,17.383225420540604,-163.728422724491
2022-01-10,1250.767,1076.3165750771943,21.344176787745575,-162.40826270975788
2022-01-11,1334.786,1191.6945175615504,27.50045719881446,-127.57601191392554
2022-01-12,1029.827,1092.1338372668426,18.222461940531378,-52.02884432064543
2023-01-01,1211.068,1293.217751413092,22.94002110268526,-69.20916823257306
2023-01-02,1105.607,1096.710466828524,25.486547241058233,-7.1825623485008725
2023-01-03,1122.606,1078.7765912018194,20.8557947869286,-32.33144053238625
2023-01-04,933.626,891.0605095736203,17.344702597778106,-32.85986717276816
2023-01-05,564.269,751.1581992146251,17.07917232660263,-177.25330809233884
2023-01-06,538.073,577.6501301330394,17.137956098950767,-30.030191805317244
2023-01-07,877.184,686.1057166476264,22.217165487714475,-178.54359000824834
2023-01-08,887.967,704.9609913450716,18.27534240122267,-172.69525083638987
2023-01-09,853.168,845.6171168165737,21.917432945512886,-6.14965503683889
2023-01-10,837.014,992.6001191404637,23.52124004235064,-142.31568051656998
2023-01-11,1137.068,1120.5001211207198,26.39162459258507,-10.185835739380567
2023-01-12,1537.47,1266.0855873396415,26.756677089853465,-256.2885741559123
2024-01-01,1141.615,1242.4797414596478,19.930371351615925,-89.62023508187421
2024-01-02,1197.359,1159.2148422719818,33.86419600712924,-23.44846016070697
2024-01-03,1330.54,1065.826130569064,19.19995280613941,-253.88145605310368
2024-01-04,928.997,1023.6113305415022,19.697090421132287,-83.50144323234275
2024-01-05,560.063,644.475564584714,17.362185246029114,-74.6170043800792
2024-01-06,640.203,759.4554081329918,17.990787101352602,-109.1021934506716
2024-01-07,587.208,638.7531978859892,14.64855928486543,-43.282223003806244
2024-01-08,947.575,1031.2859847157363,18.41494836791499,-73.32148307681572
2024-01-09,794.546,829.8301528743791,15.185764608012201,-26.820289207859883
2024-01-10,1032.437,971.5284676672758,18.72065990283426,-50.352210234575985
2024-01-11,887.614,954.9554715023952,22.917483012446713,-54.4334013888786
2024-01-12,1318.917,1202.5933943315558,22.142071265854703,-103.83128029203998
