Index,Actual,Predicted
115,509.108,522.1064494346775
116,643.172,471.8549623939812
117,1250.767,1125.2324399617248
118,1334.786,1181.9020511102633
119,1029.827,1138.4458786780726
120,1211.068,1335.0426479928067
121,1105.607,1017.0731890070135
122,1122.606,1055.5324337760248
123,933.626,751.1170146332522
124,564.269,704.0984066305517
125,538.073,599.3254395348429
126,877.184,674.86667153439
127,887.967,735.7497598447817
128,853.168,825.1072943765956
129,837.014,972.3822344676483
130,1137.068,1023.9441564788884
131,1537.47,1313.1570397831192
132,1141.615,1192.1922302812777
133,1197.359,1201.5835542393986
134,1330.54,1042.7265668411628
135,928.997,1031.5842224738592
136,560.063,654.0206390039508
137,640.203,770.5148445149295
138,587.208,613.8121336749492
139,947.575,939.5632087326823
140,794.546,826.9314547391349
141,1032.437,990.3440419919303
142,887.614,975.9309681489206
143,1318.917,1049.0927486282453
