Index,Actual,Predicted
115,509.108,565.650654403204
116,643.172,500.46059937240597
117,1250.767,1089.7589981131769
118,1334.786,1130.6978969153035
119,1029.827,973.1842731516894
120,1211.068,1325.5617380553767
121,1105.607,1080.1290125749579
122,1122.606,1019.6773560990131
123,933.626,803.3697278098676
124,564.269,788.4115633176621
125,538.073,638.6669114350324
126,877.184,663.4856176155818
127,887.967,705.9831529707499
128,853.168,829.4466622133141
129,837.014,938.0942745965386
130,1137.068,990.7203461444564
131,1537.47,1317.5290648801467
132,1141.615,1089.1519366933524
133,1197.359,1125.3902558433986
134,1330.54,1028.1384966235646
135,928.997,981.6098894175121
136,560.063,667.0437139064237
137,640.203,756.8681391917341
138,587.208,699.8661345832998
139,947.575,981.741512716012
140,794.546,835.8553175575502
141,1032.437,944.8808948919892
142,887.614,934.7229461997198
143,1318.917,1166.7079631580914
