Project,Type,Installed_MW,Connection_Date,County,Connection_Type
Flughland,Wind,9.2,30-06-2009,Donegal,DSO
Lisdowney Wind Farm,Wind,9.2,14-10-2016,Kilkenny,DSO
Clogheravaddy Wind Farm (Phase 1),Wind,9.2,03-12-2019,Donegal,DSO
Teevurcher Wind Farm,Wind,9,18-12-2017,Meath,DSO
Hollyford(Holyford) Wind Farm,Wind,9,10-12-2013,Tipperary,DSO
Tullynamoyle,Wind,9,01-07-2011,Monaghan,DSO
Knockaneden Wind Farm,Wind,9,14-09-2012,Leitrim,DSO
Garranereagh Wind Farm,Wind,8.75,30-04-2013,Cork,DSO
Kealkil Wind Farm,Wind,8.5,01-05-2005,Cork,DSO
Derrynadivva Wind Farm (prev. sd),Wind,8.5,20-09-2009,Mayo,DSO
Ballybane 2 (Glanta Commons) Wind Farm,Wind,8.4,01-11-2009,Cork,DSO
Ballymartin (2) - Smithstown,Wind,8.28,29-03-2013,Waterford,DSO
Sorrell Island (Glenmore) WF Ext,Wind,8,28-10-2020,Clare,DSO
Killaveenoge Windfarm - (Derryvacorneen merge with Barrboy),Wind,7.8,16-12-2016,Cork,DSO
Carrickeeny Wind Farm,Wind,7.65,24-03-2014,Sligo,DSO
Altagowlan Wind Farm,Wind,7.65,01-09-2005,Monaghan,DSO
Loughderryduff Wind Farm,Wind,7.65,01-10-2008,Donegal,DSO
Sonnagh Old Phase 1,Wind,7.65,01-05-2004,Galway,DSO
Mullananalt Wind Farm,Wind,7.5,01-11-2008,Meath,DSO
Knockastanna Wind Farm,Wind,7.5,01-03-2009,Clare,DSO
Tournafulla Wind Farm (1),Wind,7.5,01-01-2007,Roscommon,DSO
Sorne Hill (2),Wind,7.4,20-02-2009,Donegal,DSO
Meenaward Wind Farm (Formerly Beam Hill 2),Wind,6.9,06-12-2017,Tyrone,DSO
Derrynadivva Extension,Wind,6.8,18-12-2019,Mayo,DSO
Black Banks (2),Wind,6.8,01-09-2005,Monaghan,DSO
Tursillagh (2) Wind Farm,Wind,6.8,01-09-2004,Kerry,DSO
Richfield Wind Farm (2),Wind,6.75,01-08-2006,Wexford,DSO
Knockawarriga Extension (Knockacummer & Caherlevoy) Wind Farm,Wind,6.6,12-02-2020,Roscommon,DSO
Bellacorrick Wind Farm,Wind,6.45,01-10-1992,Mayo,DSO
Faughary Wind Farm,Wind,6,16-12-2014,Sligo,DSO
Cahermurphy Wind Farm,Wind,6,23-01-2020,Clare,DSO
Ballymartin (1) (Smithstown),Wind,6,08-06-2011,Waterford,DSO
Killin Hill Wind Farm,Wind,6,23-06-2017,Donegal,DSO
Lackan Wind Farm,Wind,6,30-06-2008,Mayo,DSO
Esk Wind Farm Phase 1,Wind,5.95,16-10-2020,Cork,DSO
Coomatallin Wind Farm,Wind,5.95,01-01-2005,Cork,DSO
Milane Hill Wind Farm,Wind,5.94,01-09-2000,Cork,DSO
Largan Hill,Wind,5.94,01-11-2000,Mayo,DSO
Esk Wind Farm Phase 1,Wind,5.4,16-10-2020,Cork,DSO
Mount Eagle Wind Farm,Wind,5.1,01-03-2005,Kerry,DSO
Knocknalour Wind Farm (1),Wind,5,20-06-2013,Wexford,DSO
Kilronan,Wind,5,01-12-1997,Roscommon,DSO
Crockahenny,Wind,5,01-04-1998,Tyrone,DSO
Lurganboy Wind Farm,Wind,4.99,01-06-2008,Donegal,DSO
Carrons (A&B) Wind Farm,Wind,4.99,26-11-2010,Limerick,DSO
Greenoge Wind Farm,Wind,4.99,27-06-2005,Galway,DSO
Clydaghroe Wind Farm,Wind,4.99,24-04-2012,Donegal,DSO
Ballycurreen Wind Farm,Wind,4.99,26-03-2014,Waterford,DSO
Cronelea Wind Farm,Wind,4.99,21-05-2007,Carlow,DSO
Mount Cronalaght,Wind,4.98,01-07-1997,Mayo,DSO
Geevagh Wind Farm,Wind,4.95,01-01-2006,Monaghan,DSO
Drumlough Hill Wind Farm,Wind,4.8,01-08-1997,Tyrone,DSO
Corrie Mt.,Wind,4.8,01-03-1997,Roscommon,DSO
Kilberehert Wind Farm,Wind,4.799,14-04-2017,Cork,DSO
Kilmeedy Wind Farm,Wind,4.7,22-12-2016,Cork,DSO
Kiltumper Wind Farm,Wind,4.69,18-12-2019,Clare,DSO
Lenanavea (Burren) Wind Farm,Wind,4.65,07-02-2011,Mayo,DSO
Currabwee Wind Farm,Wind,4.62,01-11-1999,Cork,DSO
Ballincurry Wind Farm Ltd (Glengoole),Wind,4.6,31-05-2019,Tipperary,DSO
Seltanaveeny Wind Farm,Wind,4.6,25-03-2011,Roscommon,DSO
Skrine Wind Farm,Wind,4.6,20-03-2011,Longford,DSO
Carrownaweelaun Wind Farm,Wind,4.6,03-07-2015,Clare,DSO
Ballagh Wind Farm,Wind,4.6,31-01-2018,Roscommon,DSO
Reenascreena Wind Farm,Wind,4.5,24-06-2009,Cork,DSO
Curraghderrig,Wind,4.5,14-12-2017,Roscommon,DSO
Cronelea Wind Farm (2),Wind,4.5,11-12-2009,Carlow,DSO
Kilvinane Wind Farm,Wind,4.5,01-08-2006,Cork,DSO
Gartnaneane II Wind Farm,Wind,4.5,01-11-2004,Meath,DSO
WEDcross Wind Farm,Wind,4.5,01-11-2009,Kerry,DSO
Rathnacally Wind Farm,Wind,4.45,09-07-2018,Cork,DSO
Boolard Wind Farm,Wind,4.45,05-12-2019,Cork,DSO
Ballybane 3 (Glanta Commons) Wind Farm,Wind,4.45,29-01-2017,Cork,DSO
Gortnacloghy Wind Farm,Wind,4.4,31-01-2018,Roscommon,DSO
Lahanaght Hill Wind Farm,Wind,4.25,01-01-2006,Cork,DSO
Rahora Wind Farm,Wind,4.25,01-05-2009,Waterford,DSO
Three Trees,Wind,4.25,18-12-2019,Donegal,DSO
Skehanagh Wind Farm,Wind,4.25,01-04-2006,Cork,DSO
Cloonlusk Wind Farm,Wind,4.25,26-01-2018,Mayo,DSO
Leabeg Wind Farm,Wind,4.25,17-09-2015,Cork,DSO
Meenkeeragh Wind Farm,Wind,4.2,29-04-2009,Donegal,DSO
Ballyduff Wind Farm,Wind,4,13-01-2017,Wexford,DSO
Ballynancoran Wind Farm,Wind,4,24-07-2013,Wexford,DSO
Cooly Wind Farm,Wind,4,15-03-2017,Tyrone,DSO
Moneenatieve Wind Farm (1),Wind,3.96,23-09-2005,Monaghan,DSO
Beenageeha Wind Farm,Wind,3.96,01-10-2000,Kerry,DSO
Knocknalour Wind Farm G3,Wind,3.95,20-06-2013,Wexford,DSO
Templederry Wind Farm,Wind,3.9,26-10-2012,Tipperary,DSO
Scartaglen 2 Wind Farm,Wind,3.8,12-12-2017,Kerry,DSO
Roosky Wind Farm,Wind,3.6,25-09-2015,Mayo,DSO
Clogheravaddy Wind Farm (Phase 3),Wind,3.6,27-07-2023,Donegal,DSO
Ballaman (Kennystown) Wind Farm,Wind,3.6,28-09-2012,Wexford,DSO
Carrane Hill Wind Farm,Wind,3.4,01-11-2006,Monaghan,DSO
Black Banks (1),Wind,3.4,01-09-2001,Monaghan,DSO
Meenanilta (3),Wind,3.4,19-12-2011,Donegal,DSO
Meenadreen Wind Farm,Wind,3.4,01-04-2003,Donegal,DSO
Monaincha Bog Wind Farm (Gate 2),Wind,3.4,31-01-2014,Tipperary,DSO
Cuillalea Wind Farm,Wind,3.4,01-04-2004,Mayo,DSO
CORNEEN Wind Farm,Wind,3,01-08-2001,Cavan,DSO
Slievereagh Wind Farm (1),Wind,3,25-09-2009,Tipperary,DSO
Mountain Lodge Wind Farm,Wind,3,01-04-2008,Dublin,DSO
