Project,Type,Category,Installed_MW,Connection_Date,County,Connection_Type,Zone,Latitude,Longitude
Spion Kop Wind Farm,Wind,Onshore,1.2,01-12-1997,Roscommon,DSO,West,53.627,-8.19
Cappawhite A Wind Farm (Gate 3),Wind,Onshore,49.08,23-06-2017,Tipperary,DSO,South,52.4732,-8.1615
Cleanrath Wind Farm,Wind,Onshore,42.64,21-11-2019,Cork,DSO,South,51.8979,-8.4706
Knocknagoum (1),Wind,Onshore,42.55,09-09-2013,Kerry,DSO,South,52.1545,-9.5669
Leitir Guingaid Wind Farm,Wind,Onshore,40.9,07-02-2014,Galway,DSO,West,53.2707,-9.0568
Magheramore and Cloontooa Wind Farm,Wind,Onshore,40.8,12-12-2018,Tipperary,DSO,South,52.4732,-8.1615
Bruckana,Wind,Onshore,39.6,16-07-2014,Tipperary,DSO,South,52.4732,-8.1615
Boolynagleragh (1),Wind,Onshore,36.98,03-09-2019,Clare,DSO,West,52.8436,-9.0038
Garracummer Wind Farm,Wind,Onshore,36.9,05-03-2013,Tipperary,DSO,South,52.4732,-8.1615
Scartaglen Wind Farm,Wind,Onshore,35.45,12-12-2017,Kerry,DSO,South,52.1545,-9.5669
Raheenleagh (1),Wind,Onshore,35.2,04-08-2016,Wicklow,DSO,East,52.98,-6.04
Carrowleagh Wind Farm (1),Wind,Onshore,34.15,06-06-2012,Donegal,DSO,North,54.6544,-8.1041
Castlepook (1),Wind,Onshore,33.1,28-11-2017,Cork,DSO,South,51.8979,-8.4706
Glencarbry Wind Farm,Wind,Onshore,33.0,27-10-2016,Tipperary,DSO,South,52.4732,-8.1615
Glenough Wind Farm,Wind,Onshore,33.0,22-08-2011,Tipperary,DSO,South,52.4732,-8.1615
Monaincha Bog Wind Farm (Gate 3),Wind,Onshore,32.55,31-01-2014,Tipperary,DSO,South,52.4732,-8.1615
Barranafaddock Wind Farm,Wind,Onshore,32.4,01-05-2015,Cork,DSO,South,51.8979,-8.4706
Sorne Hill Wind Farm,Wind,Onshore,31.5,01-07-2006,Donegal,DSO,North,54.6544,-8.1041
Bunnyconnellan Wind Farm,Wind,Onshore,28.0,04-12-2019,Donegal,DSO,North,54.6544,-8.1041
Taurbeg Wind Farm,Wind,Onshore,26.0,01-01-2006,Cork,DSO,South,51.8979,-8.4706
Arklow Bank Wind Farm (1),Wind,Onshore,25.2,01-11-2003,Wicklow,DSO,East,52.98,-6.04
Sorrell Island (Prev Glenmore),Wind,Onshore,24.0,03-09-2019,Clare,DSO,West,52.8436,-9.0038
Bawnmore (Burren/Carraignimma),Wind,Onshore,24.0,14-10-2011,Cork,DSO,South,51.8979,-8.4706
Taghart Wind Farm (formerly Cregg WF),Wind,Onshore,23.06,22-07-2022,Meath,DSO,East,53.6056,-6.6564
Knockawarriga Wind Farm,Wind,Onshore,22.5,01-07-2008,Roscommon,DSO,West,53.627,-8.19
Gortahile Wind Farm,Wind,Onshore,21.0,21-06-2010,Carlow,DSO,East,52.8365,-6.9341
Richfield Wind Farm,Wind,Onshore,20.25,01-08-2006,Wexford,DSO,East,52.3369,-6.4629
Glanaruddery 1 (formerly Dromadda More Wind Farm),Wind,Onshore,20.0,13-02-2018,Cork,DSO,South,51.8979,-8.4706
Carraigcannon Wind Farm,Wind,Onshore,20.0,25-03-2011,Cork,DSO,South,51.8979,-8.4706
Ballybane (Glanta Commons) Wind Farm,Wind,Onshore,19.55,01-07-2008,Cork,DSO,South,51.8979,-8.4706
Killala Wind Farm (Phase 1),Wind,Onshore,19.2,30-05-2019,Mayo,DSO,West,53.9846,-9.2822
Raheen Barr Wind Farm,Wind,Onshore,18.7,01-11-2003,Mayo,DSO,West,53.9846,-9.2822
Coollegrean Wind Farm,Wind,Onshore,18.5,30-01-2018,Kerry,DSO,South,52.1545,-9.5669
Knocknatallig Wind Farm (formerly Buttevant Wind Farm),Wind,Onshore,18.3,28-11-2017,Cork,DSO,South,51.8979,-8.4706
Ballycumber Wind Farm,Wind,Onshore,18.0,20-03-2019,Wicklow,DSO,East,52.98,-6.04
Leanamore Wind Farm (Tarbert Wind Farm),Wind,Onshore,18.0,18-12-2017,Kerry,DSO,South,52.1545,-9.5669
Cronalaght Wind Farm 2,Wind,Onshore,17.96,28-08-2019,Mayo,DSO,West,53.9846,-9.2822
Acres Wind Farm,Wind,Onshore,17.5,23-05-2015,Donegal,DSO,North,54.6544,-8.1041
Tournafulla (2) Wind Farm,Wind,Onshore,17.2,01-04-2008,Roscommon,DSO,West,53.627,-8.19
Killaveenoge Windfarm (Derryvacorneen merge with Barrboy Windfarm),Wind,Onshore,17.0,16-12-2016,Cork,DSO,South,51.8979,-8.4706
Dromdeeveen Wind Farm (2),Wind,Onshore,16.5,24-08-2011,Cork,DSO,South,51.8979,-8.4706
Grove Hill Windfarm (formerly Tullynageer WF),Wind,Onshore,16.1,03-09-2016,Louth,DSO,East,53.9,-6.4167
Muingnaminnane Wind Farm,Wind,Onshore,15.3,09-02-2010,Kerry,DSO,South,52.1545,-9.5669
Tursillagh Wind Farm,Wind,Onshore,15.0,01-11-2000,Kerry,DSO,South,52.1545,-9.5669
Grouse Lodge Wind Farm,Wind,Onshore,15.0,08-04-2011,Limerick,DSO,South,52.6638,-8.6267
Cark,Wind,Onshore,15.0,01-12-1997,Donegal,DSO,North,54.6544,-8.1041
Ballincollig Hill Wind Farm (Lee Strand),Wind,Onshore,15.0,04-03-2010,Kerry,DSO,South,52.1545,-9.5669
Gibbet Hill Wind Farm,Wind,Onshore,14.8,01-03-2013,Wexford,DSO,East,52.3369,-6.4629
Ballycadden Wind Farm (1),Wind,Onshore,14.45,12-10-2012,Wexford,DSO,East,52.3369,-6.4629
Ballybay Wind Farm (Tullaroan),Wind,Onshore,13.8,21-07-2017,Tipperary,DSO,South,52.4732,-8.1615
Mauricetown (Glenduff)  Wind Farm,Wind,Onshore,13.8,16-04-2020,Cork,DSO,South,51.8979,-8.4706
Tullabrack Wind Farm,Wind,Onshore,13.8,19-05-2017,Clare,DSO,West,52.8436,-9.0038
Lissycasey Wind Farm,Wind,Onshore,13.399,31-10-2019,Clare,DSO,West,52.8436,-9.0038
Cappawhite B Wind Farm (Cappagh White),Wind,Onshore,13.18,19-06-2018,Tipperary,DSO,South,52.4732,-8.1615
Moanmore Wind Farm,Wind,Onshore,12.6,01-12-2004,Clare,DSO,West,52.8436,-9.0038
Cloghaneleskirt Wind Farm,Wind,Onshore,12.55,27-04-2018,Cork,DSO,South,51.8979,-8.4706
Black Lough Wind farm,Wind,Onshore,12.5,06-03-2020,Donegal,DSO,North,54.6544,-8.1041
Rathcahill West Windfarm,Wind,Onshore,12.5,02-05-2011,Limerick,DSO,South,52.6638,-8.6267
