Project,Type,Category,Installed_MW,Connection_Date,County,Connection_Type,Zone,Latitude,Longitude
Ballinveny Wind Farm,Wind,Onshore,2.55,01-01-2006,Tipperary,DSO,South,52.4732,-8.1615
Shannagh (Kilcar),Wind,Onshore,2.55,30-03-2010,Donegal,DSO,North,54.6544,-8.1041
DePuy 3MW Wind Turbine,Wind,Onshore,2.5,21-07-2014,Cork,DSO,South,51.8979,-8.4706
Kilbranish Wind Farm,Wind,Onshore,2.5,11-10-2018,Galway,DSO,West,53.2707,-9.0568
Grady Joinery Wind Farm,Wind,Onshore,2.5,05-08-2017,Mayo,DSO,West,53.9846,-9.2822
Meenanilta Wind Farm (2),Wind,Onshore,2.45,01-07-2004,Donegal,DSO,North,54.6544,-8.1041
CURRAGHGRAIGUE (2) Wind Farm,Wind,Onshore,2.44,24-08-2011,Tipperary,DSO,South,52.4732,-8.1615
Enros - Sorne Hill Single Turbine,Wind,Onshore,2.3,18-12-2019,Donegal,DSO,North,54.6544,-8.1041
Collon Wind Power Limited (Gate 3),Wind,Onshore,2.3,11-04-2016,Wexford,DSO,East,52.3369,-6.4629
Gurteen Lower Wind Farm,Wind,Onshore,2.3,22-08-2017,Tipperary,DSO,South,52.4732,-8.1615
Corvin Wind Turbine,Wind,Onshore,2.1,20-12-2018,Donegal,DSO,North,54.6544,-8.1041
Wind Energy Project (Janssen),Wind,Onshore,2.0,21-07-2014,Cork,DSO,South,51.8979,-8.4706
Anarget Wind Farm (1),Wind,Onshore,1.98,01-09-2000,Donegal,DSO,North,54.6544,-8.1041
Dunmore 2,Wind,Onshore,1.8,01-05-2009,Wexford,DSO,East,52.3369,-6.4629
Knocknagoum (2),Wind,Onshore,1.8,13-09-2013,Kerry,DSO,South,52.1545,-9.5669
Dunmore Wind Farm,Wind,Onshore,1.7,01-07-2006,Wexford,DSO,East,52.3369,-6.4629
Cronelea Upper Wind Farm (2),Wind,Onshore,1.7,11-12-2009,Carlow,DSO,East,52.8365,-6.9341
Beallough Wind Farm,Wind,Onshore,1.7,01-11-2008,Waterford,DSO,South,52.2593,-7.1101
Mount Eagle Wind Farm (2),Wind,Onshore,1.7,01-11-2008,Kerry,DSO,South,52.1545,-9.5669
Crocane Wind Farm,Wind,Onshore,1.7,27-01-2011,Cork,DSO,South,51.8979,-8.4706
Beale Hill (1),Wind,Onshore,1.65,01-11-2000,Roscommon,DSO,West,53.627,-8.19
Slievereagh Wind Farm (2),Wind,Onshore,1.6,01-12-2014,Tipperary,DSO,South,52.4732,-8.1615
Liffey Autoproduction Project,Wind,Onshore,1.6,15-12-2017,Dublin,DSO,East,53.3498,-6.2603
Tullynamoyle Wind Farm 3 (Carrane Hill Merged Capacity),Wind,Onshore,1.598,18-09-2017,Monaghan,DSO,North,54.2498,-6.9683
Cuillalea Wind Farm (2),Wind,Onshore,1.59,31-08-2010,Mayo,DSO,West,53.9846,-9.2822
Ballybane 2A (Glanta Commons) Wind Farm Extension,Wind,Onshore,1.55,29-01-2017,Cork,DSO,South,51.8979,-8.4706
Liffey Autoproduction Project (extension),Wind,Onshore,1.417,15-12-2017,Dublin,DSO,East,53.3498,-6.2603
Glackmore Hill (2),Wind,Onshore,1.4,28-04-2009,Donegal,DSO,North,54.6544,-8.1041
Beale Hill (3) Wind Farm,Wind,Onshore,1.3,14-11-2016,Roscommon,DSO,West,53.627,-8.19
Garracummer (2),Wind,Onshore,1.0,11-02-2015,Tipperary,DSO,South,52.4732,-8.1615
Pluckanes Wind Farm,Wind,Onshore,0.85,27-09-2013,Waterford,DSO,South,52.2593,-7.1101
Collon Wind Power Limited (Gate 2),Wind,Onshore,0.7,11-04-2016,Wexford,DSO,East,52.3369,-6.4629
Knock South Wind Farm (2),Wind,Onshore,0.69,01-01-1999,Galway,DSO,West,53.2707,-9.0568
Burtonport Harbour Single Turbine,Wind,Onshore,0.66,01-07-2003,Mayo,DSO,West,53.9846,-9.2822
Mounvaun (Mienvee) Wind Farm,Wind,Onshore,0.66,01-01-2004,Clare,DSO,West,52.8436,-9.0038
Ballyduff Wind Farm,Wind,Onshore,0.6,13-01-2017,Wexford,DSO,East,52.3369,-6.4629
Glackmore Hill (1),Wind,Onshore,0.6,28-04-2009,Donegal,DSO,North,54.6544,-8.1041
Muine Bheag Wind,Wind,Onshore,0.5,22-04-2022,Carlow,DSO,East,52.8365,-6.9341
Country Crest,Wind,Onshore,0.5,07-03-2011,Dublin,DSO,East,53.3498,-6.2603
Dundalk IT Wind Turbine,Wind,Onshore,0.5,01-01-2006,Louth,DSO,East,53.9,-6.4167
Anarget Wind Farm (3),Wind,Onshore,0.5,04-11-2011,Donegal,DSO,North,54.6544,-8.1041
Mossedge Wind Farm,Wind,Onshore,0.5,17-01-2019,Donegal,DSO,North,54.6544,-8.1041
Michael Aylward,Wind,Onshore,0.5,26-09-2016,Waterford,DSO,South,52.2593,-7.1101
Ballynultagh Wind Farm,Wind,Onshore,0.499,20-03-2020,Carlow,DSO,East,52.8365,-6.9341
Ballon Wind,Wind,Onshore,0.499,07-09-2017,Carlow,DSO,East,52.8365,-6.9341
Gortnahalla,Wind,Onshore,0.499,07-06-2019,Tipperary,DSO,South,52.4732,-8.1615
Moyvane Wind,Wind,Onshore,0.499,10-12-2019,Roscommon,DSO,West,53.627,-8.19
Tesco Donabate,Wind,Onshore,0.499,01-09-2016,Dublin,DSO,East,53.3498,-6.2603
Kilpatrick Wind,Wind,Onshore,0.499,30-01-2020,Cork,DSO,South,51.8979,-8.4706
Patrick Costello Wind Turbine,Wind,Onshore,0.495,21-12-2018,Tipperary,DSO,South,52.4732,-8.1615
KWT Energy Ltd,Wind,Onshore,0.49,20-12-2016,Waterford,DSO,South,52.2593,-7.1101
Meenkeeragh Wind Farm (2),Wind,Onshore,0.4,25-04-2013,Donegal,DSO,North,54.6544,-8.1041
Glackmore Hill (3),Wind,Onshore,0.3,28-04-2009,Donegal,DSO,North,54.6544,-8.1041
Meade Potato Company,Wind,Onshore,0.3,03-06-2014,Wexford,DSO,East,52.3369,-6.4629
Moneenatieve Wind Farm (2),Wind,Onshore,0.29,15-10-2011,Monaghan,DSO,North,54.2498,-6.9683
Donaghmede Fr Collins Park Wind Farm,Wind,Onshore,0.25,01-05-2009,Sligo,DSO,West,54.2766,-8.4761
Mounvaun (Mienvee) Wind Farm (2),Wind,Onshore,0.19,01-01-2008,Clare,DSO,West,52.8436,-9.0038
Burtonstown Autoproducer,Wind,Onshore,0.15,01-10-2014,Wexford,DSO,East,52.3369,-6.4629
Burtonstown,Wind,Onshore,0.15,01-10-2014,Wexford,DSO,East,52.3369,-6.4629
Tierney Farms,Wind,Onshore,0.15,18-04-2017,Waterford,DSO,South,52.2593,-7.1101
Tullow Mushroom Growers Ltd,Wind,Onshore,0.133,01-11-2010,Carlow,DSO,East,52.8365,-6.9341
Patrick Costello Wind Turbine Ext,Wind,Onshore,0.13,15-03-2022,Tipperary,DSO,South,52.4732,-8.1615
"St Patricks Missionary Society, Co. Wicklow",Wind,Onshore,0.13,26-06-2012,Wicklow,DSO,East,52.98,-6.04
IS Sustainable Supply Chain,Wind,Onshore,0.12,01-09-2023,Donegal,DSO,North,54.6544,-8.1041
James Nally,Wind,Onshore,0.11,14-11-2013,Westmeath,DSO,East,53.5333,-7.4333
Leo Barry,Wind,Onshore,0.05,19-08-2015,Wexford,DSO,East,52.3369,-6.4629
Anarget Wind Farm (2),Wind,Onshore,0.02,01-12-2004,Donegal,DSO,North,54.6544,-8.1041
Owenstown,Wind,Onshore,0.018,01-12-2010,Kildare,DSO,East,53.212,-6.8195
Carrickallen Wind Farm,Wind,Onshore,22.0,11-10-2018,Dublin,DSO,East,53.3498,-6.2603
Sheskin Windfarm Phase1,Wind,Onshore,16.8,07-12-2023,Mayo,DSO,West,53.9846,-9.2822
Shalvey Poultry WT,Wind,Onshore,0.017,01-02-2013,Dublin,DSO,East,53.3498,-6.2603
Lios na Carraige,Wind,Onshore,0.017,01-10-2008,Meath,DSO,East,53.6056,-6.6564
M8 Junction 10 WT,Wind,Onshore,0.01,18-07-2012,Tipperary,DSO,South,52.4732,-8.1615
