Project,Type,Category,Installed_MW,Connection_Date,County,Connection_Type,Zone
Burtonstown,Wind,Onshore,0.15,01-10-2014,Wexford,DSO,East
Tierney Farms,Wind,Onshore,0.15,18-04-2017,Waterford,DSO,South
Tullow Mushroom Growers Ltd,Wind,Onshore,0.133,01-11-2010,Carlow,DSO,East
Patrick Costello Wind Turbine Ext,Wind,Onshore,0.13,15-03-2022,Tipperary,DSO,South
"St Patricks Missionary Society, Co. Wicklow",Wind,Onshore,0.13,26-06-2012,Wicklow,DSO,East
IS Sustainable Supply Chain,Wind,Onshore,0.12,01-09-2023,Donegal,DSO,North
James Nally,Wind,Onshore,0.11,14-11-2013,Westmeath,DSO,East
Leo Barry,Wind,Onshore,0.05,19-08-2015,Wexford,DSO,East
Allen Removals,Wind,Onshore,0.02,05-09-2014,Tyrone,DSO,NI
Anarget Wind Farm (2),Wind,Onshore,0.02,01-12-2004,Donegal,DSO,North
Owenstown,Wind,Onshore,0.018,01-12-2010,Kildare,DSO,East
Carrickallen Wind Farm,Wind,Onshore,22,11-10-2018,Dublin,DSO,East
Sheskin Windfarm Phase1,Wind,Onshore,16.8,07-12-2023,Mayo,DSO,West
Shalvey Poultry WT,Wind,Onshore,0.017,01-02-2013,Dublin,DSO,East
Lios na Carraige,Wind,Onshore,0.017,01-10-2008,Meath,DSO,East
M8 Junction 10 WT,Wind,Onshore,0.01,18-07-2012,Tipperary,DSO,South
