Project,Type,Category,Installed_MW,Connection_Date,County,Connection_Type,Zone
Barranafaddock Wind Farm,Wind,Onshore,32.4,01-05-2015,Cork,DSO,South
Sorne Hill Wind Farm,Wind,Onshore,31.5,01-07-2006,Donegal,DSO,North
Bunnyconnellan Wind Farm,Wind,Onshore,28,04-12-2019,Donegal,DSO,North
Taurbeg Wind Farm,Wind,Onshore,26,01-01-2006,Cork,DSO,South
Arklow Bank Wind Farm (1),Wind,Onshore,25.2,01-11-2003,Wicklow,DSO,East
Sorrell Island (Prev Glenmore),Wind,Onshore,24,03-09-2019,Clare,DSO,West
Bawnmore (Burren/Carraignimma),Wind,Onshore,24,14-10-2011,Cork,DSO,South
Taghart Wind Farm (formerly Cregg WF),Wind,Onshore,23.06,22-07-2022,Meath,DSO,East
Knockawarriga Wind Farm,Wind,Onshore,22.5,01-07-2008,Roscommon,DSO,West
Gortahile Wind Farm,Wind,Onshore,21,21-06-2010,Carlow,DSO,East
Richfield Wind Farm,Wind,Onshore,20.25,01-08-2006,Wexford,DSO,East
Glanaruddery 1 (formerly Dromadda More Wind Farm),Wind,Onshore,20,13-02-2018,Cork,DSO,South
Carraigcannon Wind Farm,Wind,Onshore,20,25-03-2011,Cork,DSO,South
Ballybane (Glanta Commons) Wind Farm,Wind,Onshore,19.55,01-07-2008,Cork,DSO,South
Killala Wind Farm (Phase 1),Wind,Onshore,19.2,30-05-2019,Mayo,DSO,West
Raheen Barr Wind Farm,Wind,Onshore,18.7,01-11-2003,Mayo,DSO,West
Coollegrean Wind Farm,Wind,Onshore,18.5,30-01-2018,Kerry,DSO,South
Knocknatallig Wind Farm (formerly Buttevant Wind Farm),Wind,Onshore,18.3,28-11-2017,Cork,DSO,South
Ballycumber Wind Farm,Wind,Onshore,18,20-03-2019,Wicklow,DSO,East
Leanamore Wind Farm (Tarbert Wind Farm),Wind,Onshore,18,18-12-2017,Kerry,DSO,South
Cronalaght Wind Farm 2,Wind,Onshore,17.96,28-08-2019,Mayo,DSO,West
Acres Wind Farm,Wind,Onshore,17.5,23-05-2015,Donegal,DSO,North
Tournafulla (2) Wind Farm,Wind,Onshore,17.2,01-04-2008,Roscommon,DSO,West
Killaveenoge Windfarm (Derryvacorneen merge with Barrboy Windfarm),Wind,Onshore,17,16-12-2016,Cork,DSO,South
Dromdeeveen Wind Farm (2),Wind,Onshore,16.5,24-08-2011,Cork,DSO,South
Grove Hill Windfarm (formerly Tullynageer WF),Wind,Onshore,16.1,03-09-2016,Louth,DSO,East
Muingnaminnane Wind Farm,Wind,Onshore,15.3,09-02-2010,Kerry,DSO,South
Tursillagh Wind Farm,Wind,Onshore,15,01-11-2000,Kerry,DSO,South
Grouse Lodge Wind Farm,Wind,Onshore,15,08-04-2011,Limerick,DSO,South
Cark,Wind,Onshore,15,01-12-1997,Donegal,DSO,North
Ballincollig Hill Wind Farm (Lee Strand),Wind,Onshore,15,04-03-2010,Kerry,DSO,South
Gibbet Hill Wind Farm,Wind,Onshore,14.8,01-03-2013,Wexford,DSO,East
Ballycadden Wind Farm (1),Wind,Onshore,14.45,12-10-2012,Wexford,DSO,East
Beam Hill Wind Farm,Wind,Onshore,14,01-08-2006,Tyrone,DSO,NI
Ballybay Wind Farm (Tullaroan),Wind,Onshore,13.8,21-07-2017,Tipperary,DSO,South
Mauricetown (Glenduff)  Wind Farm,Wind,Onshore,13.8,16-04-2020,Cork,DSO,South
Tullabrack Wind Farm,Wind,Onshore,13.8,19-05-2017,Clare,DSO,West
Lissycasey Wind Farm,Wind,Onshore,13.399,31-10-2019,Clare,DSO,West
Cappawhite B Wind Farm (Cappagh White),Wind,Onshore,13.18,19-06-2018,Tipperary,DSO,South
Moanmore Wind Farm,Wind,Onshore,12.6,01-12-2004,Clare,DSO,West
Cloghaneleskirt Wind Farm,Wind,Onshore,12.55,27-04-2018,Cork,DSO,South
Black Lough Wind farm,Wind,Onshore,12.5,06-03-2020,Donegal,DSO,North
Rathcahill West Windfarm,Wind,Onshore,12.5,02-05-2011,Limerick,DSO,South
Glanaruddery 2 (formerly Dromadda More 2),Wind,Onshore,12,13-02-2018,Cork,DSO,South
Esk Wind Farm Phase 2,Wind,Onshore,12,16-10-2020,Cork,DSO,South
Tullynamoyle Wind Farm 3 (Formerly Geevagh 2),Wind,Onshore,11.98,18-09-2017,Monaghan,DSO,North
Carnsore Wind Farm,Wind,Onshore,11.9,01-08-2002,Wexford,DSO,East
Meenachullalan Wind Farm,Wind,Onshore,11.9,01-11-2008,Donegal,DSO,North
Culliagh Wind Farm (Meenbog),Wind,Onshore,11.88,01-10-2000,Donegal,DSO,North
An Cnoc,Wind,Onshore,11.5,19-09-2017,Tipperary,DSO,South
Ballybane 2A (Glanta Commons) Wind Farm,Wind,Onshore,11.5,30-01-2015,Cork,DSO,South
Raragh 2 Wind Farm,Wind,Onshore,11.5,28-11-2019,Meath,DSO,East
Clogheravaddy Wind Farm (Phase 2),Wind,Onshore,10.8,08-02-2022,Donegal,DSO,North
Dromdeeveen Wind Farm (1),Wind,Onshore,10.5,24-08-2011,Cork,DSO,South
Gartnaneane (1) Wind Farm,Wind,Onshore,10.5,01-11-2004,Meath,DSO,East
Caherdowney Wind Farm,Wind,Onshore,10,16-04-2012,Donegal,DSO,North
Glantaunyalkeen Windfarm,Wind,Onshore,9.999,30-08-2018,Cork,DSO,South
Meenwaun Wind Farm,Wind,Onshore,9.99,21-12-2017,Cork,DSO,South
Corkermore Wind Farm Phase 1,Wind,Onshore,9.99,06-07-2011,Donegal,DSO,North
Drumlough Hill (2) (Lough Doo),Wind,Onshore,9.99,01-04-2011,Tyrone,DSO,NI
Ballycadden Wind Farm (2),Wind,Onshore,9.762,12-10-2012,Wexford,DSO,East
Foyle Wind Farm (prev Holmes Hill),Wind,Onshore,9.6,25-07-2017,Tipperary,DSO,South
Gneeves Wind Farm,Wind,Onshore,9.35,29-06-2005,Kerry,DSO,South
Flughland,Wind,Onshore,9.2,30-06-2009,Donegal,DSO,North
Lisdowney Wind Farm,Wind,Onshore,9.2,14-10-2016,Kilkenny,DSO,East
Clogheravaddy Wind Farm (Phase 1),Wind,Onshore,9.2,03-12-2019,Donegal,DSO,North
Teevurcher Wind Farm,Wind,Onshore,9,18-12-2017,Meath,DSO,East
Hollyford(Holyford) Wind Farm,Wind,Onshore,9,10-12-2013,Tipperary,DSO,South
Tullynamoyle,Wind,Onshore,9,01-07-2011,Monaghan,DSO,North
Knockaneden Wind Farm,Wind,Onshore,9,14-09-2012,Leitrim,DSO,West
Garranereagh Wind Farm,Wind,Onshore,8.75,30-04-2013,Cork,DSO,South
Kealkil Wind Farm,Wind,Onshore,8.5,01-05-2005,Cork,DSO,South
Derrynadivva Wind Farm (prev. sd),Wind,Onshore,8.5,20-09-2009,Mayo,DSO,West
Ballybane 2 (Glanta Commons) Wind Farm,Wind,Onshore,8.4,01-11-2009,Cork,DSO,South
Ballymartin (2) - Smithstown,Wind,Onshore,8.28,29-03-2013,Waterford,DSO,South
Sorrell Island (Glenmore) WF Ext,Wind,Onshore,8,28-10-2020,Clare,DSO,West
Killaveenoge Windfarm - (Derryvacorneen merge with Barrboy),Wind,Onshore,7.8,16-12-2016,Cork,DSO,South
Carrickeeny Wind Farm,Wind,Onshore,7.65,24-03-2014,Sligo,DSO,West
Altagowlan Wind Farm,Wind,Onshore,7.65,01-09-2005,Monaghan,DSO,North
Loughderryduff Wind Farm,Wind,Onshore,7.65,01-10-2008,Donegal,DSO,North
Sonnagh Old Phase 1,Wind,Onshore,7.65,01-05-2004,Galway,DSO,West
Mullananalt Wind Farm,Wind,Onshore,7.5,01-11-2008,Meath,DSO,East
Knockastanna Wind Farm,Wind,Onshore,7.5,01-03-2009,Clare,DSO,West
Tournafulla Wind Farm (1),Wind,Onshore,7.5,01-01-2007,Roscommon,DSO,West
Sorne Hill (2),Wind,Onshore,7.4,20-02-2009,Donegal,DSO,North
Meenaward Wind Farm (Formerly Beam Hill 2),Wind,Onshore,6.9,06-12-2017,Tyrone,DSO,NI
Derrynadivva Extension,Wind,Onshore,6.8,18-12-2019,Mayo,DSO,West
