Date,Solar_Radiation_MJ_per_m2
2021-12-01 06:00:00,1758544.4
2022-01-01 06:00:00,2749098.2
2022-02-01 06:00:00,5012300.5
2022-03-01 06:00:00,11273184.0
2022-04-01 06:00:00,14450800.0
2022-05-01 06:00:00,17655734.0
2022-06-01 06:00:00,18422058.0
2022-07-01 06:00:00,17238790.0
2022-08-01 06:00:00,16736528.0
2022-09-01 06:00:00,10552561.0
2022-10-01 06:00:00,5893539.5
2022-11-01 06:00:00,3211073.5
2022-12-01 06:00:00,2191883.8
2023-01-01 06:00:00,2587361.2
2023-02-01 06:00:00,4910852.5
2023-03-01 06:00:00,8070690.5
2023-04-01 06:00:00,13820624.0
2023-05-01 06:00:00,19063764.0
2023-06-01 06:00:00,21503196.0
2023-07-01 06:00:00,16268529.0
2023-08-01 06:00:00,14325237.0
2023-09-01 06:00:00,10359395.0
2023-10-01 06:00:00,5632241.5
2023-11-01 06:00:00,3445353.8
2023-12-01 06:00:00,1837946.2
2024-01-01 06:00:00,2713160.5
2024-02-01 06:00:00,4521177.0
2024-03-01 06:00:00,8412219.0
2024-04-01 06:00:00,13807354.0
2024-05-01 06:00:00,17416382.0
2024-06-01 06:00:00,18564728.0
2024-07-01 06:00:00,16557731.0
2024-08-01 06:00:00,14562473.0
2024-09-01 06:00:00,10726389.0
2024-10-01 06:00:00,5882238.0
2024-11-01 06:00:00,2690675.5
2024-12-01 06:00:00,1704224.6
