Feature,Mean SHAP,StdDev SHAP
Wind_GWh_RollingMean3,178.2793406322164,125.24376664248652
Wind_GWh_Lag12,73.24287667020354,68.8482271039918
Wind_GWh_Lag24,23.202730137459056,26.412787124813107
Wind_Capacity_MW,18.000790002087207,3.2849581691333904
RollingMean_12,11.97910650600867,3.7506791927871297
Temperature_Celsius,0.011461403946505607,21.33688918089522
Wind_GWh_Lag2,-5.620918012128189,9.673443078396382
Wind_GWh_Lag1,-8.866232711584264,12.916275006283993
RollingMean_6,-10.102939403092131,22.908140465851833
Wind_Speed_10m,-18.170235540543025,79.27087677506593
