Date,Actual,Predicted_Mean,Predicted_Std,CRPS
2024-01-01,16.93,10.007455784060571,4.787252154647605,-4.538596376860543
2024-02-01,19.941,13.266629194572417,4.787252154647605,-4.329043699524461
2024-03-01,34.572,19.350442551623605,2.2788854867980914,-13.935833994634613
2024-04-01,65.365,55.50775145994413,7.916059140023217,-6.200013277674315
2024-05-01,94.089,55.50775145994413,7.916059140023217,-34.11509208328719
2024-06-01,101.188,55.50775145994413,7.916059140023217,-41.21409044077366
2024-07-01,115.457,55.50775145994413,7.916059140023217,-55.48309043050679
2024-08-01,98.174,55.50775145994413,7.916059140023217,-38.20009052794169
2024-09-01,73.727,41.31040214964946,3.1717434368312016,-30.62713324160442
2024-10-01,54.281,38.132458020042606,3.1717434368312016,-14.359077578169966
2024-11-01,23.612,35.2265887925983,6.66287783652241,-8.074658575175985
2024-12-01,16.222,13.266629194572417,4.787252154647605,-1.8243521614856684
