Month,Actual,Mean_Pred,CI_90_Lo,CI_90_Hi
2024-01-01,16.93,22.430184094795045,-13.146004458606358,58.189831545169824
2024-02-01,19.941,23.879841666381548,-13.54838353962045,60.548261085538954
2024-03-01,34.572,25.643016655144244,-15.097579418292549,66.32968543479214
2024-04-01,65.365,29.772608839640576,-27.487620360666345,87.09924942680705
2024-05-01,94.089,37.09353575649224,-54.065370114117535,129.4256224703687
2024-06-01,101.188,37.9731473786898,-54.57154838184832,129.73875745680277
2024-07-01,115.457,36.74060935402846,-49.92998175703746,123.09181462192056
2024-08-01,98.174,36.490395537304664,-45.38838907851638,118.1457575995255
2024-09-01,73.727,33.61231879432116,-32.95696399051209,99.8326353410158
2024-10-01,54.281,30.57036173893726,-26.231806297869174,88.5272854995214
2024-11-01,23.612,27.301000426327548,-17.60023392749951,71.5406825425886
2024-12-01,16.222,23.871945853545835,-14.052902549634977,61.334369145863654
